Isolate_Id,HA Segment_Id,Isolate_Name,Subtype,Host,Collection_Date
EPI_ISL_209834,EPI705443|A/duck/Jiangsu/J3741/2014,A_duck_Jiangsu_J3741_2014,A_/_H3,Duck,2014/11/6
EPI_ISL_209833,EPI705442|A/duck/Jiangsu/J3722/2014,A_duck_Jiangsu_J3722_2014,A_/_H3,Duck,2014/11/6
EPI_ISL_209832,EPI705441|A/duck/Jiangsu/J3602/2014,A_duck_Jiangsu_J3602_2014,A_/_H3,Duck,2014/11/6
EPI_ISL_209831,EPI705440|A/duck/Jiangsu/J3246/2014,A_duck_Jiangsu_J3246_2014,A_/_H3,Duck,2014/11/7
EPI_ISL_209830,EPI705439|A/duck/Guangdong/G3604/2014,A_duck_Guangdong_G3604_2014,A_/_H3,Duck,2014/11/20
EPI_ISL_209829,EPI705438|A/duck/Guangdong/G3090/2014,A_duck_Guangdong_G3090_2014,A_/_H3,Duck,2014/11/19
EPI_ISL_209828,EPI705437|A/duck/Guangdong/G3077/2014,A_duck_Guangdong_G3077_2014,A_/_H3,Duck,2014/11/19
EPI_ISL_211516,EPI708136|A/chicken/Guangdong/G1863/2014,A_chicken_Guangdong_G1863_2014,A_/_H3,Chicken,2014/4/16
EPI_ISL_211526,EPI708148|A/duck/Anhui/A1804/2014,A_duck_Anhui_A1804_2014,A_/_H3,Duck,2014/4/22
EPI_ISL_211525,EPI708147|A/duck/Anhui/A1787/2014,A_duck_Anhui_A1787_2014,A_/_H3,Duck,2014/4/22
EPI_ISL_211523,EPI708144|A/duck/Anhui/A1650/2014,A_duck_Anhui_A1650_2014,A_/_H3,Duck,2014/4/22
EPI_ISL_211522,EPI708142|A/duck/Anhui/A1611/2014,A_duck_Anhui_A1611_2014,A_/_H3,Duck,2014/4/22
EPI_ISL_211518,EPI708138|A/duck/Anhui/A1466/2014,A_duck_Anhui_A1466_2014,A_/_H3,Duck,2014/4/22
EPI_ISL_225416,EPI777977|2016-CX1267.4,A_Hebei-Zunhua_1177_2016,A_/_H3,Human,2016/4/3
EPI_ISL_18613910,EPI2822407|2023-CX1580.4,A_Jiangsu-Chongchuan_11648_2023,A_/_H3N2,Human,2023/10/16
EPI_ISL_18613909,EPI2822405|2023-CX1588.4,A_Yunnan-Gucheng_1650_2023,A_/_H3N2,Human,2023/9/24
EPI_ISL_18613908,EPI2822403|2023-CX1590.4,A_Zhejiang-Kecheng_1996_2023,A_/_H3N2,Human,2023/10/9
EPI_ISL_18613904,EPI2822395|2023-CX1390.4,A_Sichuan-Gaoxin_1834_2023,A_/_H3N2,Human,2023/9/4
EPI_ISL_18613885,EPI2822338|2023-CX1459.4,A_Jiangsu-Gongyeyuan_345_2023,A_/_H3N2,Human,2023/9/12
EPI_ISL_18613884,EPI2822335|2023-CX1460.4,A_Shanghai-Pudongxin_712_2023,A_/_H3N2,Human,2023/9/13
EPI_ISL_18613883,EPI2822332|2023-CX1461.4,A_Jiangsu-Qinhuai_1710_2023,A_/_H3N2,Human,2023/9/6
EPI_ISL_18613882,EPI2822329|2023-CX1462.4,A_Jiangsu-Hailing_11651_2023,A_/_H3N2,Human,2023/9/12
EPI_ISL_18613881,EPI2822326|2023-CX1463.4,A_Shanghai-Songjiang_1732_2023,A_/_H3N2,Human,2023/9/12
EPI_ISL_18613880,EPI2822323|2023-CX1464.4,A_Shanghai-Changning_11229_2023,A_/_H3N2,Human,2023/9/7
EPI_ISL_18613878,EPI2822317|2023-CX1466.4,A_Jiangsu-Binhu_1786_2023,A_/_H3N2,Human,2023/10/3
EPI_ISL_18613877,EPI2822314|2023-CX1467.4,A_Guangdong-Zhenjiang_1816_2023,A_/_H3N2,Human,2023/10/10
EPI_ISL_18613876,EPI2822311|2023-CX1468.4,A_Sichuan-Gaoxin_1927_2023,A_/_H3N2,Human,2023/10/5
EPI_ISL_18613875,EPI2822308|2023-CX1469.4,A_Sichuan-Qingyang_11624_2023,A_/_H3N2,Human,2023/10/9
EPI_ISL_18613874,EPI2822305|2023-CX1470.4,A_Shanghai-Jiading_1849_2023,A_/_H3N2,Human,2023/10/9
EPI_ISL_18613873,EPI2822302|2023-CX1475.4,A_Anhui-Qiaocheng_11330_2023,A_/_H3N2,Human,2023/9/12
EPI_ISL_18613872,EPI2822299|2023-CX1476.4,A_Anhui-Jinzhai_2121_2023,A_/_H3N2,Human,2023/9/16
EPI_ISL_18613869,EPI2822290|2023-CX1481.4,A_Shanghai-Jiading_1766_2023,A_/_H3N2,Human,2023/9/10
EPI_ISL_18613868,EPI2822287|2023-CX1482.4,A_Jiangsu-Gusu_11584_2023,A_/_H3N2,Human,2023/10/3
EPI_ISL_18613867,EPI2822284|2023-CX1483.4,A_Hunan-Tianyuan_1901_2023,A_/_H3N2,Human,2023/9/4
EPI_ISL_18613866,EPI2822281|2023-CX1485.4,A_Guangdong-Chikan_1715_2023,A_/_H3N2,Human,2023/9/4
EPI_ISL_18613865,EPI2822278|2023-CX1486.4,A_Guangdong-Duanzhou_1804_2023,A_/_H3N2,Human,2023/9/11
EPI_ISL_18613823,EPI2822152|2023-CX1537.4,A_Yunnan-Xishan_11075_2023,A_/_H3N2,Human,2023/10/24
EPI_ISL_18613822,EPI2822149|2023-CX1538.4,A_Shandong-Shizhong_11454_2023,A_/_H3N2,Human,2023/10/18
EPI_ISL_18613821,EPI2822146|2023-CX1539.4,A_Xinjiang-Tianshan_11737_2023,A_/_H3N2,Human,2023/10/19
EPI_ISL_18613820,EPI2822143|2023-CX1540.4,A_Henan-Hubin_11010_2023,A_/_H3N2,Human,2023/10/17
EPI_ISL_18613819,EPI2822140|2023-CX1541.4,A_Chongqing-Liangjiangxin_11070_2023,A_/_H3N2,Human,2023/10/17
EPI_ISL_18613818,EPI2822137|2023-CX1542.4,A_Guizhou-Douyun_1976_2023,A_/_H3N2,Human,2023/10/17
EPI_ISL_18613817,EPI2822134|2023-CX1543.4,A_Guangxi-Yuzhou_11212_2023,A_/_H3N2,Human,2023/10/16
EPI_ISL_18613816,EPI2822131|2023-CX1544.4,A_Qinghai-Chengzhong_1437_2023,A_/_H3N2,Human,2023/10/16
EPI_ISL_18613815,EPI2822128|2023-CX1545.4,A_Beijing-Chaoyang_12686_2023,A_/_H3N2,Human,2023/10/16
EPI_ISL_18613814,EPI2822125|2023-CX1546.4,A_Jilin-Chaoyang_12129_2023,A_/_H3N2,Human,2023/10/16
EPI_ISL_18613813,EPI2822122|2023-CX1547.4,A_Liaoning-Huanggu_12082_2023,A_/_H3N2,Human,2023/10/16
EPI_ISL_18613812,EPI2822119|2023-CX1548.4,A_Hunan-Leiyang_2324_2023,A_/_H3N2,Human,2023/10/15
EPI_ISL_18613811,EPI2822116|2023-CX1549.4,A_Qinghai-Datonghuizutuzuzizhi_2415_2023,A_/_H3N2,Human,2023/10/12
EPI_ISL_18613810,EPI2822113|2023-CX1550.4,A_Chongqing-Qianjiang_1901_2023,A_/_H3N2,Human,2023/10/11
EPI_ISL_18613809,EPI2822110|2023-CX1551.4,A_Guangxi-Youjiang_11102_2023,A_/_H3N2,Human,2023/10/11
EPI_ISL_18613808,EPI2822108|2023-CX1552.4,A_Chongqing-Yongchuan_11070_2023,A_/_H3N2,Human,2023/10/26
EPI_ISL_18613807,EPI2822105|2023-CX1553.4,A_Beijing-Chaoyang_12918_2023,A_/_H3N2,Human,2023/11/6
EPI_ISL_18613806,EPI2822102|2023-CX1554.4,A_Jiangsu-Haizhou_3771_2023,A_/_H3N2,Human,2023/11/1
EPI_ISL_18613805,EPI2822099|2023-CX1555.4,A_Xinjiang-Tianshan_11779_2023,A_/_H3N2,Human,2023/10/26
EPI_ISL_18613803,EPI2822093|2023-CX1557.4,A_Henan-Wolong_1878_2023,A_/_H3N2,Human,2023/10/23
EPI_ISL_18613802,EPI2822090|2023-CX1558.4,A_Zhejiang-Nanhu_11050_2023,A_/_H3N2,Human,2023/10/23
EPI_ISL_18613800,EPI2822084|2023-CX1560.4,A_Anhui-Huoqiu_2244_2023,A_/_H3N2,Human,2023/10/19
EPI_ISL_18613799,EPI2822081|2023-CX1561.4,A_Guizhou-Kaili_3137_2023,A_/_H3N2,Human,2023/10/18
EPI_ISL_18613796,EPI2822072|2023-CX1564.4,A_Hunan-Yanfeng_1859_2023,A_/_H3N2,Human,2023/10/16
EPI_ISL_18613795,EPI2822069|2023-CX1565.4,A_Anhui-Tunxi_11031_2023,A_/_H3N2,Human,2023/10/16
EPI_ISL_18613793,EPI2822063|2023-CX1567.4,A_Hubei-Wujiagang_11543_2023,A_/_H3N2,Human,2023/10/12
EPI_ISL_18613790,EPI2822054|2023-CX1570.4,A_Anhui-Yingjiang_12132_2023,A_/_H3N2,Human,2023/10/9
EPI_ISL_18613789,EPI2822051|2023-CX1571.4,A_Shanghai-Fengxian_1876_2023,A_/_H3N2,Human,2023/10/6
EPI_ISL_18613788,EPI2822048|2023-CX1572.4,A_Shanghai-Pudongxin_11549_2023,A_/_H3N2,Human,2023/10/3
EPI_ISL_18613787,EPI2822045|2023-CX1573.4,A_Hunan-Yuhu_11009_2023,A_/_H3N2,Human,2023/10/10
EPI_ISL_18613786,EPI2822042|2023-CX1574.4,A_Hunan-Xiangtan_1906_2023,A_/_H3N2,Human,2023/10/15
EPI_ISL_18613785,EPI2822039|2023-CX1575.4,A_Chongqing-Yubei_2664_2023,A_/_H3N2,Human,2023/10/11
EPI_ISL_18613784,EPI2822036|2023-CX1576.4,A_Guizhou-Douyun_2302_2023,A_/_H3N2,Human,2023/10/11
EPI_ISL_18613783,EPI2822033|2023-CX1577.4,A_Zhejiang-Wuxin_1863_2023,A_/_H3N2,Human,2023/10/9
EPI_ISL_18613782,EPI2822030|2023-CX1578.4,A_Zhejiang-Nanhu_1998_2023,A_/_H3N2,Human,2023/10/9
EPI_ISL_18613781,EPI2822027|2023-CX1579.4,A_Henan-Chuanhui_1864_2023,A_/_H3N2,Human,2023/10/9
EPI_ISL_18613780,EPI2822024|2023-CX1581.4,A_Guangxi-Yuzhou_2293_2023,A_/_H3N2,Human,2023/10/7
EPI_ISL_18613779,EPI2822021|2023-CX1582.4,A_Sichuan-Yanjiang_1996_2023,A_/_H3N2,Human,2023/10/8
EPI_ISL_18613778,EPI2822018|2023-CX1583.4,A_Beijing-Chaoyang_12768_2023,A_/_H3N2,Human,2023/10/23
EPI_ISL_18613777,EPI2822015|2023-CX1584.4,A_Shanghai-Fengxian_1893_2023,A_/_H3N2,Human,2023/10/9
EPI_ISL_18613776,EPI2822012|2023-CX1585.4,A_Zhejiang-Nanhu_1979_2023,A_/_H3N2,Human,2023/10/3
EPI_ISL_18613775,EPI2822009|2023-CX1586.4,A_Henan-Beiguan_1863_2023,A_/_H3N2,Human,2023/10/4
EPI_ISL_18613774,EPI2822006|2023-CX1587.4,A_Guangxi-Jiangzhou_1910_2023,A_/_H3N2,Human,2023/9/11
EPI_ISL_18613773,EPI2822003|2023-CX1589.4,A_Shanghai-Fengxian_323_2023,A_/_H3N2,Human,2023/10/17
EPI_ISL_18613772,EPI2822000|2023-CX1591.4,A_Hubei-Tianmen_319_2023,A_/_H3N2,Human,2023/10/17
EPI_ISL_18613771,EPI2821997|2023-CX1592.4,A_Hubei-Maojian_16362_2023,A_/_H3N2,Human,2023/10/6
EPI_ISL_18056714,EPI2664550|P159_HA,A_Beijing_CY00012_2023,A_/_H3N2,Human,2023/3/13
EPI_ISL_18056713,EPI2664544|G56_HA,A_Beijing_CY00011_2023,A_/_H3N2,Human,2023/3/6
EPI_ISL_17465782,EPI2509724|2023-CX0486.4,A_Jiangsu-Qingjiangpu_1128_2023,A_/_H3N2,Human,2023/1/23
EPI_ISL_17465781,EPI2509721|2023-CX0487.4,A_Jiangsu-Qinhuai_186_2023,A_/_H3N2,Human,2023/2/1
EPI_ISL_17465780,EPI2509718|2023-CX0488.4,A_Yunnan-Simao_169_2023,A_/_H3N2,Human,2023/2/6
EPI_ISL_17465779,EPI2509715|2023-CX0489.4,A_Neimenggu-Erlianhaote_174_2023,A_/_H3N2,Human,2023/1/20
EPI_ISL_17465778,EPI2509712|2023-CX0490.4,A_Neimenggu-Erlianhaote_176_2023,A_/_H3N2,Human,2023/1/24
EPI_ISL_17465777,EPI2509709|2023-CX0491.4,A_Neimenggu-Erlianhaote_187_2023,A_/_H3N2,Human,2023/1/28
EPI_ISL_17465776,EPI2509706|2023-CX0492.4,A_Anhui-Qiaocheng_11513_2022,A_/_H3N2,Human,2022/12/24
EPI_ISL_17465775,EPI2509703|2023-CX0493.4,A_Anhui-Qiaocheng_16_2023,A_/_H3N2,Human,2023/1/2
EPI_ISL_17465774,EPI2509700|2023-CX0494.4,A_Beijing-Chaoyang_1347_2023,A_/_H3N2,Human,2023/2/13
EPI_ISL_17465771,EPI2509691|2023-CX0497.4,A_Yunnan-Zhenxiong_51_2023,A_/_H3N2,Human,2023/2/2
EPI_ISL_17465770,EPI2509688|2023-CX0498.4,A_Tianjin-Jinnan_1112_2023,A_/_H3N2,Human,2023/2/6
EPI_ISL_17465769,EPI2509685|2023-CX0499.4,A_Sichuan-Qingyang_1254_2023,A_/_H3N2,Human,2023/2/14
EPI_ISL_17465765,EPI2509673|2023-CX0503.4,A_Sichuan-Pidou_36_2023,A_/_H3N2,Human,2023/2/15
EPI_ISL_17465764,EPI2509670|2023-CX0504.4,A_Heilongjiang-Taoshan_186_2023,A_/_H3N2,Human,2023/1/25
EPI_ISL_17465763,EPI2509667|2023-CX0505.4,A_Guangdong-Huicheng_310_2023,A_/_H3N2,Human,2023/2/21
EPI_ISL_17465762,EPI2509664|2023-CX0506.4,A_Neimenggu-Huimin_1194_2023,A_/_H3N2,Human,2023/2/13
EPI_ISL_17465761,EPI2509661|2023-CX0507.4,A_Neimenggu-Erlianhaote_1345_2023,A_/_H3N2,Human,2023/2/20
EPI_ISL_17465760,EPI2509658|2023-CX0509.4,A_Jilin-Lvyuan_541_2023,A_/_H3N2,Human,2023/2/24
EPI_ISL_17465758,EPI2509652|2023-CX0513.4,A_Sichuan-Pidou_54_2023,A_/_H3N2,Human,2023/2/23
EPI_ISL_17465757,EPI2509649|2023-CX0514.4,A_Sichuan-Xinjin_35_2023,A_/_H3N2,Human,2023/2/20
EPI_ISL_17465755,EPI2509643|2023-CX0516.4,A_Henan-Luolong_1139_2023,A_/_H3N2,Human,2023/2/21
EPI_ISL_17465754,EPI2509640|2023-CX0519.4,A_Hubei-Echeng_1242_2023,A_/_H3N2,Human,2023/2/20
EPI_ISL_17465753,EPI2509637|2023-CX0520.4,A_Hebei-Haigang_1235_2023,A_/_H3N2,Human,2023/2/26
EPI_ISL_17465752,EPI2509634|2023-CX0521.4,A_Hebei-Cixian_1181_2023,A_/_H3N2,Human,2023/2/22
EPI_ISL_17465750,EPI2509631|2023-CX0522.4,A_Shanxi-Pingcheng_1404_2023,A_/_H3N2,Human,2023/2/20
EPI_ISL_17465748,EPI2509627|2023-CX0523.4,A_Beijing-Chaoyang_1505_2023,A_/_H3N2,Human,2023/2/27
EPI_ISL_393428,EPI1601372|A/China/79879/2016,A_China_79879_2016,A_/_H3N2,Human,2016/12/6
EPI_ISL_393427,EPI1601378|A/China/81891/2017,A_China_81891_2017,A_/_H3N2,Human,2017/2/1
EPI_ISL_393426,EPI1601377|A/China/81129/2017,A_China_81129_2017,A_/_H3N2,Human,2017/1/5
EPI_ISL_393425,EPI1601376|A/China/81105/2017,A_China_81105_2017,A_/_H3N2,Human,2017/1/4
EPI_ISL_393424,EPI1601375|A/China/80974/2016,A_China_80974_2016,A_/_H3N2,Human,2016/12/30
EPI_ISL_393423,EPI1601374|A/China/79880/2016,A_China_79880_2016,A_/_H3N2,Human,2016/12/13
EPI_ISL_393422,EPI1601373|A/China/80241/2016,A_China_80241_2016,A_/_H3N2,Human,2016/12/6
EPI_ISL_393420,EPI1601371|A/China/72935/2016,A_China_72935_2016,A_/_H3N2,Human,2016/3/8
EPI_ISL_393419,EPI1601370|A/China/71518/2016,A_China_71518_2016,A_/_H3N2,Human,2016/1/26
EPI_ISL_393418,EPI1601369|A/China/71516/2016,A_China_71516_2016,A_/_H3N2,Human,2016/1/25
EPI_ISL_393417,EPI1601368|A/China/71517/2016,A_China_71517_2016,A_/_H3N2,Human,2016/1/25
EPI_ISL_393416,EPI1601367|A/China/70793/2016,A_China_70793_2016,A_/_H3N2,Human,2016/1/7
EPI_ISL_393415,EPI1601366|A/China/70219/2015,A_China_70219_2015,A_/_H3N2,Human,2015/12/25
EPI_ISL_393414,EPI1601365|A/China/68154/2015,A_China_68154_2015,A_/_H3N2,Human,2015/9/29
EPI_ISL_393413,EPI1601364|A/China/67013/2015,A_China_67013_2015,A_/_H3N2,Human,2015/8/24
EPI_ISL_393412,EPI1601363|A/China/67066/2015,A_China_67066_2015,A_/_H3N2,Human,2015/7/31
EPI_ISL_393411,EPI1601362|A/China/66886/2015,A_China_66886_2015,A_/_H3N2,Human,2015/7/22
EPI_ISL_393410,EPI1601361|A/China/63615/2015,A_China_63615_2015,A_/_H3N2,Human,2015/2/23
EPI_ISL_393409,EPI1601360|A/China/63513/2015,A_China_63513_2015,A_/_H3N2,Human,2015/2/17
EPI_ISL_393408,EPI1601359|A/China/62895/2015,A_China_62895_2015,A_/_H3N2,Human,2015/1/27
EPI_ISL_393407,EPI1601358|A/China/62889/2015,A_China_62889_2015,A_/_H3N2,Human,2015/1/27
EPI_ISL_393406,EPI1601357|A/China/62885/2015,A_China_62885_2015,A_/_H3N2,Human,2015/1/27
EPI_ISL_393405,EPI1601356|A/China/61499/2014,A_China_61499_2014,A_/_H3N2,Human,2014/12/24
EPI_ISL_393404,EPI1601355|A/China/61481/2014,A_China_61481_2014,A_/_H3N2,Human,2014/12/23
EPI_ISL_393403,EPI1601354|A/China/61452/2014,A_China_61452_2014,A_/_H3N2,Human,2014/12/23
EPI_ISL_393402,EPI1601353|A/China/61559/2014,A_China_61559_2014,A_/_H3N2,Human,2014/12/23
EPI_ISL_393401,EPI1601352|A/China/61238/2014,A_China_61238_2014,A_/_H3N2,Human,2014/12/19
EPI_ISL_393400,EPI1601351|A/China/61461/2014,A_China_61461_2014,A_/_H3N2,Human,2014/12/19
EPI_ISL_393399,EPI1601350|A/China/61520/2014,A_China_61520_2014,A_/_H3N2,Human,2014/12/19
EPI_ISL_393398,EPI1601349|A/China/L83/2014,A_China_L83_2014,A_/_H3N2,Human,2014/12/18
EPI_ISL_393397,EPI1601348|A/China/61309/2014,A_China_61309_2014,A_/_H3N2,Human,2014/12/18
EPI_ISL_393396,EPI1601347|A/China/61369/2014,A_China_61369_2014,A_/_H3N2,Human,2014/12/18
EPI_ISL_393395,EPI1601346|A/China/61001/2014,A_China_61001_2014,A_/_H3N2,Human,2014/12/18
EPI_ISL_393394,EPI1601345|A/China/60786/2014,A_China_60786_2014,A_/_H3N2,Human,2014/12/18
EPI_ISL_393393,EPI1601344|A/China/60736/2014,A_China_60736_2014,A_/_H3N2,Human,2014/12/18
EPI_ISL_393392,EPI1601343|A/China/61013/2014,A_China_61013_2014,A_/_H3N2,Human,2014/12/18
EPI_ISL_393391,EPI1601342|A/China/61007/2014,A_China_61007_2014,A_/_H3N2,Human,2014/12/18
EPI_ISL_393390,EPI1601341|A/China/61391/2014,A_China_61391_2014,A_/_H3N2,Human,2014/12/18
EPI_ISL_393389,EPI1601340|A/China/61248/2014,A_China_61248_2014,A_/_H3N2,Human,2014/12/16
EPI_ISL_393388,EPI1601339|A/China/61247/2014,A_China_61247_2014,A_/_H3N2,Human,2014/12/16
EPI_ISL_393387,EPI1601338|A/China/61244/2014,A_China_61244_2014,A_/_H3N2,Human,2014/12/16
EPI_ISL_393386,EPI1601337|A/China/J7603/2014,A_China_J7603_2014,A_/_H3N2,Human,2014/12/16
EPI_ISL_393385,EPI1601336|A/China/61154/2014,A_China_61154_2014,A_/_H3N2,Human,2014/12/16
EPI_ISL_393384,EPI1601335|A/China/61252/2014,A_China_61252_2014,A_/_H3N2,Human,2014/12/16
EPI_ISL_393383,EPI1601334|A/China/60701/2014,A_China_60701_2014,A_/_H3N2,Human,2014/12/11
EPI_ISL_393382,EPI1601333|A/China/60956/2014,A_China_60956_2014,A_/_H3N2,Human,2014/12/9
EPI_ISL_393381,EPI1601332|A/China/60952/2014,A_China_60952_2014,A_/_H3N2,Human,2014/12/9
EPI_ISL_393380,EPI1601331|A/China/J7506/2014,A_China_J7506_2014,A_/_H3N2,Human,2014/12/9
EPI_ISL_393379,EPI1601330|A/China/J7525/2014,A_China_J7525_2014,A_/_H3N2,Human,2014/12/9
EPI_ISL_393378,EPI1601329|A/China/60950/2014,A_China_60950_2014,A_/_H3N2,Human,2014/12/9
EPI_ISL_393377,EPI1601328|A/China/60938/2014,A_China_60938_2014,A_/_H3N2,Human,2014/12/9
EPI_ISL_393376,EPI1601327|A/China/J7503/2014,A_China_J7503_2014,A_/_H3N2,Human,2014/12/9
EPI_ISL_393375,EPI1601326|A/China/60376/2014,A_China_60376_2014,A_/_H3N2,Human,2014/11/25
EPI_ISL_393374,EPI1601325|A/China/60134/2014,A_China_60134_2014,A_/_H3N2,Human,2014/11/18
EPI_ISL_393373,EPI1601324|A/China/60130/2014,A_China_60130_2014,A_/_H3N2,Human,2014/11/18
EPI_ISL_393372,EPI1601323|A/China/59882/2014,A_China_59882_2014,A_/_H3N2,Human,2014/11/14
EPI_ISL_393371,EPI1601322|A/China/59100/2014,A_China_59100_2014,A_/_H3N2,Human,2014/11/14
EPI_ISL_393370,EPI1601321|A/China/QH34/2014,A_China_QH34_2014,A_/_H3N2,Human,2014/10/28
EPI_ISL_393369,EPI1601320|A/China/55312/2014,A_China_55312_2014,A_/_H3N2,Human,2014/5/13
EPI_ISL_393368,EPI1601319|A/China/55254/2014,A_China_55254_2014,A_/_H3N2,Human,2014/5/8
EPI_ISL_393367,EPI1601318|A/China/51340/2014,A_China_51340_2014,A_/_H3N2,Human,2014/1/6
EPI_ISL_393366,EPI1601317|A/China/51323/2014,A_China_51323_2014,A_/_H3N2,Human,2014/1/6
EPI_ISL_393365,EPI1601316|A/China/51045/2013,A_China_51045_2013,A_/_H3N2,Human,2013/12/29
EPI_ISL_393364,EPI1601315|A/China/44381/2013,A_China_44381_2013,A_/_H3N2,Human,2013/4/9
EPI_ISL_393363,EPI1601314|A/China/41691/2013,A_China_41691_2013,A_/_H3N2,Human,2013/1/5
EPI_ISL_393362,EPI1601313|A/China/41678/2013,A_China_41678_2013,A_/_H3N2,Human,2013/1/5
EPI_ISL_393361,EPI1601312|A/China/41304/2012,A_China_41304_2012,A_/_H3N2,Human,2012/12/24
EPI_ISL_393360,EPI1601311|A/China/41303/2012,A_China_41303_2012,A_/_H3N2,Human,2012/12/24
EPI_ISL_393359,EPI1601310|A/China/39207/2012,A_China_39207_2012,A_/_H3N2,Human,2012/9/26
EPI_ISL_393358,EPI1601309|A/China/38888/2012,A_China_38888_2012,A_/_H3N2,Human,2012/8/29
EPI_ISL_393357,EPI1601308|A/China/38887/2012,A_China_38887_2012,A_/_H3N2,Human,2012/8/29
EPI_ISL_329210,EPI1308271|A/Shanghai/2014-06/2014,A_Shanghai_2014-06_2014,A_/_H3N2,Human,2014/12/23
EPI_ISL_328954,EPI1306904|A/Beijinghuairou/712/2013,A_Beijinghuairou_712_2013,A_/_H3N2,Human,2013/12/1
EPI_ISL_328953,EPI1306903|A/Beijinghuairou/690/2013,A_Beijinghuairou_690_2013,A_/_H3N2,Human,2013/11/5
EPI_ISL_328952,EPI1306902|A/Beijinghuairou/678/2013,A_Beijinghuairou_678_2013,A_/_H3N2,Human,2013/11/5
EPI_ISL_328951,EPI1306901|A/Beijinghuairou/651/2013,A_Beijinghuairou_651_2013,A_/_H3N2,Human,2013/11/2
EPI_ISL_328950,EPI1306900|A/Beijinghuairou/645/2013,A_Beijinghuairou_645_2013,A_/_H3N2,Human,2013/10/30
EPI_ISL_328949,EPI1306899|A/Beijinghuairou/483/2013,A_Beijinghuairou_483_2013,A_/_H3N2,Human,2013/10/15
EPI_ISL_328948,EPI1306898|A/Beijinghuairou/1216/2013,A_Beijinghuairou_1216_2013,A_/_H3N2,Human,2013/11/21
EPI_ISL_328947,EPI1306897|A/Beijinghuairou/1092/2013,A_Beijinghuairou_1092_2013,A_/_H3N2,Human,2013/11/6
EPI_ISL_328946,EPI1306896|A/Beijing/11867/2013,A_Beijing_11867_2013,A_/_H3N2,Human,2013/12/23
EPI_ISL_328945,EPI1306895|A/Beijing/0017/2014,A_Beijing_0017_2014,A_/_H3N2,Human,2014/1/14
EPI_ISL_328944,EPI1306894|A/Beijing/0015/2014,A_Beijing_0015_2014,A_/_H3N2,Human,2014/1/14
EPI_ISL_328936,EPI1306814|A/Beijinghuairou/753/2013,A_Beijinghuairou_753_2013,A_/_H3N2,Human,2013/12/12
EPI_ISL_328935,EPI1306813|A/Beijinghuairou/746/2013,A_Beijinghuairou_746_2013,A_/_H3N2,Human,2013/12/12
EPI_ISL_328900,EPI1306458|A/China/S111/2017,A_China_S111_2017,A_/_H3N2,Human,2017/9/20
EPI_ISL_328899,EPI1306441|A/China/803/2013,A_China_803_2013,A_/_H3N2,Human,2013/12/16
EPI_ISL_328898,EPI1306439|A/China/356/2012,A_China_356_2012,A_/_H3N2,Human,2012/8/6
EPI_ISL_328897,EPI1306438|A/China/321/2012,A_China_321_2012,A_/_H3N2,Human,2012/8/2
EPI_ISL_328896,EPI1306437|A/China/89/2012,A_China_89_2012,A_/_H3N2,Human,2012/2/23
